id,date,type,distance,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,average_watts,weighted_average_watts,trainer,gear_id,distance_km,speed_kmh
17597263856,2026-03-04 00:00:00,root='Snowboard',18932.2,3565,1764.9,5.311,,,,,False,,18.9322,19.119600000000002
17589052530,2026-03-03 00:00:00,root='Snowboard',73091.5,14391,6470.5,5.079,,,,,False,,73.0915,18.284399999999998
17577393655,2026-03-02 00:00:00,root='Run',6032.4,1947,146.0,3.098,133.4,166.0,403.4,391.0,False,g25150502,6.0324,11.1528
17576626263,2026-03-02 00:00:00,root='Snowboard',64133.1,14158,5461.0,4.53,,,,,False,,64.1331,16.308
17566638251,2026-03-01 00:00:00,root='Snowboard',82705.0,16583,7039.8,4.987,,,,,False,,82.705,17.953200000000002
17544174899,2026-02-27 00:00:00,root='Run',14639.6,4113,31.0,3.559,148.6,174.0,443.7,438.0,False,g28802476,14.6396,12.8124
17522292826,2026-02-25 00:00:00,root='VirtualRide',57836.0,5459,446.0,10.595,122.9,131.0,236.3,236.0,False,b7688713,57.836,38.142
17509406861,2026-02-24 00:00:00,root='Run',7129.6,2350,9.0,3.034,127.0,140.0,373.1,367.0,False,g25150502,7.1296,10.9224
17481284724,2026-02-22 00:00:00,root='Run',18510.0,5851,117.0,3.164,135.4,144.0,401.2,399.0,False,g25150502,18.51,11.390400000000001
17470873248,2026-02-21 00:00:00,root='Ride',110334.0,12795,201.0,8.623,131.5,154.0,207.7,218.0,False,b17244674,110.334,31.0428
17463211845,2026-02-20 00:00:00,root='Run',10194.3,3128,16.0,3.259,142.4,177.0,401.3,408.0,False,g28802476,10.1943,11.7324
17442413245,2026-02-18 00:00:00,root='Run',7569.3,2161,29.0,3.503,147.2,168.0,443.3,455.0,False,g28802476,7.5693,12.610800000000001
17430070952,2026-02-17 00:00:00,root='VirtualRide',53221.3,5461,392.0,9.746,120.3,134.0,231.9,233.0,False,b7688713,53.2213,35.0856
17403076111,2026-02-15 00:00:00,root='Run',17918.8,5940,59.0,3.017,131.1,153.0,376.9,365.0,False,g25150502,17.9188,10.8612
17396196337,2026-02-14 00:00:00,root='Ride',42261.7,6021,192.0,7.019,121.5,158.0,183.7,214.0,False,b17244674,42.2617,25.2684
17386229872,2026-02-13 00:00:00,root='VirtualRide',52445.4,5449,535.0,9.625,127.8,149.0,242.2,249.0,False,b7688713,52.4454,34.65
17366481986,2026-02-11 00:00:00,root='Run',10490.5,2857,12.0,3.672,150.9,169.0,460.0,470.0,False,g28802476,10.4905,13.2192
17352998459,2026-02-10 00:00:00,root='VirtualRide',38559.6,4864,703.0,7.928,124.6,147.0,235.6,256.0,False,b7688713,38.559599999999996,28.5408
17341834366,2026-02-09 00:00:00,root='Run',7084.2,2368,13.0,2.992,124.0,133.0,370.9,360.0,False,g25150502,7.0842,10.7712
17332573156,2026-02-08 00:00:00,root='Ride',7823.4,1293,13.0,6.051,116.1,125.0,105.2,106.0,False,b7688713,7.8233999999999995,21.7836
17329923924,2026-02-08 00:00:00,root='Ride',49683.4,6748,133.0,7.363,,,232.5,257.0,False,b17244674,49.6834,26.506800000000002
17324761422,2026-02-07 00:00:00,root='WeightTraining',,904,,,80.0,104.0,,,True,,,
17318832362,2026-02-07 00:00:00,root='IceSkate',,4215,,,102.5,130.0,,,True,,,
17318832390,2026-02-06 00:00:00,root='Run',8078.5,2582,5.0,3.129,132.8,144.0,379.7,377.0,False,g25150502,8.0785,11.2644
17299364425,2026-02-05 00:00:00,root='VirtualRide',41142.2,4238,337.0,9.708,123.7,139.0,231.9,234.0,False,b7688713,41.142199999999995,34.9488
17286742687,2026-02-04 00:00:00,root='Run',11521.4,3315,10.0,3.476,144.6,175.0,436.0,431.0,False,g28802476,11.5214,12.5136
17274859228,2026-02-03 00:00:00,root='VirtualRide',40320.3,3868,233.0,10.424,120.6,129.0,230.2,230.0,False,b7688713,40.3203,37.5264
17272642279,2026-02-03 00:00:00,root='WeightTraining',,783,,,95.4,122.0,,,True,,,
17263410453,2026-02-02 00:00:00,root='Run',7698.4,2375,14.0,3.241,131.9,148.0,404.0,400.0,False,g25150502,7.6983999999999995,11.6676
17247570453,2026-02-01 00:00:00,root='Ride',47975.1,5433,47.0,8.83,154.6,172.0,266.5,282.0,False,b17244674,47.9751,31.788
17246064495,2026-02-01 00:00:00,root='Ride',8489.7,1348,16.0,6.298,137.2,166.0,227.9,252.0,False,b17244674,8.489700000000001,22.672800000000002
17237635393,2026-01-31 00:00:00,root='Ride',47982.2,6044,54.0,7.939,118.7,135.0,172.8,176.0,False,b17244674,47.9822,28.5804
17229538723,2026-01-30 00:00:00,root='Run',11689.9,3661,27.0,3.193,133.3,148.0,401.7,381.0,False,g25150502,11.6899,11.4948
17209528883,2026-01-28 00:00:00,root='VirtualRide',40211.0,4354,361.0,9.235,124.9,156.0,232.3,248.0,False,b7688713,40.211,33.246
17196139458,2026-01-27 00:00:00,root='Run',8791.7,2777,10.0,3.166,134.6,167.0,382.5,383.0,False,g28802476,8.7917,11.3976
17168596903,2026-01-25 00:00:00,root='Run',8336.7,2703,23.0,3.084,130.4,147.0,386.9,378.0,False,g25150502,8.3367,11.102400000000001
17158467090,2026-01-24 00:00:00,root='VirtualRide',65480.1,6627,425.0,9.881,135.4,166.0,244.4,267.0,False,b7688713,65.4801,35.571600000000004
17151868473,2026-01-23 00:00:00,root='VirtualRide',40309.7,3972,161.0,10.148,127.4,166.0,228.5,256.0,False,b7688713,40.3097,36.5328
17130769995,2026-01-21 00:00:00,root='VirtualRide',46317.6,4559,294.0,10.16,124.9,143.0,235.7,238.0,False,b7688713,46.3176,36.576
17117248223,2026-01-20 00:00:00,root='Run',11503.5,3339,20.0,3.445,144.0,159.0,424.4,421.0,False,g28802476,11.5035,12.402
17090258998,2026-01-18 00:00:00,root='Ride',52696.4,5932,68.0,8.883,156.9,177.0,265.4,276.0,False,b17244674,52.696400000000004,31.978799999999996
17088825904,2026-01-18 00:00:00,root='Ride',8119.7,1260,24.0,6.444,129.4,164.0,190.4,211.0,False,b17244674,8.1197,23.1984
17079165970,2026-01-17 00:00:00,root='Ride',40089.5,4093,1.0,9.795,155.2,179.0,260.4,278.0,False,b17244674,40.0895,35.262
17078105703,2026-01-17 00:00:00,root='Ride',4476.2,648,15.0,6.908,137.2,164.0,223.4,252.0,False,b17244674,4.4761999999999995,24.8688
17062808450,2026-01-15 00:00:00,root='VirtualRide',27299.2,2740,113.0,9.963,123.3,139.0,229.5,234.0,False,b7688713,27.2992,35.8668
17051465836,2026-01-14 00:00:00,root='VirtualRide',33125.0,3626,335.0,9.135,122.9,153.0,233.1,252.0,False,b7688713,33.125,32.886
17037255230,2026-01-13 00:00:00,root='Run',7041.3,2231,26.0,3.156,132.0,154.0,389.8,384.0,False,g25150502,7.041300000000001,11.361600000000001
17012352278,2026-01-11 00:00:00,root='VirtualRide',101510.0,10132,572.0,10.019,130.7,145.0,226.9,229.0,False,b7688713,101.51,36.068400000000004
16990830044,2026-01-09 00:00:00,root='Snowboard',38784.6,8873,3496.7,4.371,,,,,False,,38.7846,15.735600000000002
16980911858,2026-01-08 00:00:00,root='Run',7007.8,2291,119.0,3.059,147.6,170.0,392.4,397.0,False,g25150502,7.0078000000000005,11.012400000000001
16979776577,2026-01-08 00:00:00,root='Snowboard',30315.1,6629,3296.8,4.573,,,,,False,,30.315099999999997,16.4628
16969232975,2026-01-07 00:00:00,root='Snowboard',85479.3,15386,7482.7,5.556,,,,,False,,85.47930000000001,20.0016
16958523584,2026-01-06 00:00:00,root='Swim',1325.0,1504,,0.881,131.1,162.0,,,True,,1.325,3.1716
16956358966,2026-01-06 00:00:00,root='Snowboard',49282.4,9017,4620.1,5.465,,,,,False,,49.2824,19.674
16945447103,2026-01-05 00:00:00,root='Snowboard',49734.1,9414,4574.2,5.283,,,,,False,,49.7341,19.018800000000002
16937303411,2026-01-04 00:00:00,root='Run',6174.7,2216,106.0,2.786,130.9,167.0,358.7,371.0,False,g25150502,6.1747,10.0296
16924712797,2026-01-03 00:00:00,root='Run',8080.6,2857,128.0,2.828,130.7,153.0,365.0,355.0,False,g25150502,8.0806,10.1808
16905127186,2026-01-01 00:00:00,root='VirtualRide',40291.2,3649,161.0,11.042,124.9,137.0,237.7,237.0,False,b7688713,40.291199999999996,39.7512
16887790798,2025-12-30 00:00:00,root='VirtualRide',36055.9,3671,250.0,9.822,121.7,141.0,241.5,250.0,False,b7688713,36.0559,35.3592
16875706357,2025-12-29 00:00:00,root='VirtualRide',56266.2,5483,331.0,10.262,129.2,155.0,248.8,266.0,False,b7688713,56.2662,36.943200000000004
16863199083,2025-12-28 00:00:00,root='Ride',33042.5,4238,87.0,7.797,122.3,149.0,214.3,226.0,False,b17244674,33.0425,28.0692
16856971223,2025-12-27 00:00:00,root='VirtualRide',62515.4,5615,251.0,11.134,127.8,143.0,240.2,241.0,False,b7688713,62.5154,40.0824
16834833172,2025-12-25 00:00:00,root='Run',8147.1,2467,22.0,3.302,136.1,158.0,423.4,426.0,False,g25150502,8.1471,11.8872
16823461589,2025-12-23 00:00:00,root='VirtualRide',53448.0,5103,326.0,10.474,120.3,136.0,213.3,214.0,False,b7688713,53.448,37.7064
16812039900,2025-12-22 00:00:00,root='Run',5834.4,1851,13.0,3.152,130.5,140.0,393.8,386.0,False,g25150502,5.8344,11.3472
16779289382,2025-12-18 00:00:00,root='VirtualRide',35166.6,3161,330.0,11.125,150.3,169.0,300.0,311.0,False,b7688713,35.166599999999995,40.050000000000004
16769767510,2025-12-17 00:00:00,root='Run',6598.1,1968,15.0,3.353,136.5,157.0,422.8,417.0,False,g25150502,6.5981000000000005,12.0708
16752166144,2025-12-15 00:00:00,root='VirtualRide',37384.9,4239,604.0,8.819,122.0,142.0,229.8,235.0,False,b7688713,37.3849,31.748400000000004
16740089013,2025-12-14 00:00:00,root='Run',12500.6,4152,64.0,3.011,128.7,141.0,381.2,365.0,False,g25150502,12.5006,10.8396
16730937440,2025-12-13 00:00:00,root='Ride',62201.4,7449,113.0,8.35,126.3,148.0,241.9,245.0,False,b12356755,62.2014,30.06
16716242153,2025-12-11 00:00:00,root='VirtualRide',35263.2,3947,292.0,8.934,131.4,153.0,249.3,266.0,False,b7688713,35.2632,32.1624
16706229978,2025-12-10 00:00:00,root='Run',8381.8,2426,16.0,3.455,141.5,160.0,431.7,441.0,False,g25150502,8.3818,12.438
16696533811,2025-12-09 00:00:00,root='VirtualRide',45530.3,4548,233.0,10.011,126.8,145.0,242.2,250.0,False,b7688713,45.530300000000004,36.0396
16677981909,2025-12-07 00:00:00,root='VirtualRide',73134.6,7337,462.0,9.968,122.1,134.0,230.9,234.0,False,b7688713,73.1346,35.8848
16665850768,2025-12-06 00:00:00,root='Run',10053.6,2977,26.0,3.377,138.4,175.0,410.6,408.0,False,g27578635,10.053600000000001,12.1572
16651424501,2025-12-04 00:00:00,root='VirtualRide',37254.6,3636,168.0,10.246,134.9,159.0,260.5,283.0,False,b7688713,37.254599999999996,36.885600000000004
16642461819,2025-12-03 00:00:00,root='VirtualRide',32298.9,3654,406.0,8.839,120.2,132.0,234.5,237.0,False,b7688713,32.2989,31.820400000000003
