id,date,type,distance,moving_time,total_elevation_gain,average_speed,average_heartrate,max_heartrate,average_watts,weighted_average_watts,trainer,gear_id,distance_km,speed_kmh,source
-211185966673797,2026-06-23,Cycling,56711.52,10177,1702.0,5.573,144.0,165.0,189.0,221.0,False,,56.71152,20.062800000000003,wahoo
-42723128322773,2026-06-22,Cycling,99574.95,15928,2077.0,6.252,144.0,171.0,166.0,205.0,False,,99.57495,22.5072,wahoo
-229290986494198,2026-06-21,Cycling,103504.38,17938,2653.0,5.77,149.0,181.0,174.0,232.0,False,,103.50438,20.772,wahoo
-17766153589365,2026-06-19,Cycling,76489.42,8966,31.0,8.531,153.0,,195.0,204.0,False,,76.48942,30.711600000000004,wahoo
-278463933124947,2026-06-17,Cycling,37838.2,4375,9.0,8.649,147.0,173.0,192.0,223.0,False,,37.8382,31.1364,wahoo
-279006676904803,2026-06-14,Cycling,74120.09,9152,133.0,8.099,139.0,179.0,190.0,222.0,False,,74.12008999999999,29.1564,wahoo
-93806480490325,2026-06-14,Cycling,70223.54,8035,69.0,8.74,140.0,169.0,184.0,206.0,False,,70.22354,31.464,wahoo
-189864559386213,2026-06-13,Cycling,53034.83,5910,18.0,8.974,146.0,,215.0,228.0,False,,53.03483,32.306400000000004,wahoo
-152844205101903,2026-06-11,Cycling,18891.92,1967,8.0,9.604,148.0,170.0,257.0,263.0,False,,18.89192,34.5744,wahoo
-18695122510276,2026-06-09,Cycling,65916.53,8634,31.0,7.635,124.0,163.0,140.0,191.0,False,,65.91653,27.486,wahoo
-40432161965105,2026-06-07,Cycling,114495.65,13533,185.0,8.46,137.0,171.0,208.0,225.0,False,,114.49565,30.456000000000003,wahoo
-44371302841371,2026-06-05,Cycling,74082.73,8623,37.0,8.591,134.0,168.0,184.0,198.0,False,,74.08273,30.9276,wahoo
-224556865167946,2026-06-04,Cycling,32519.82,3784,22.0,8.594,147.0,170.0,222.0,249.0,False,,32.51982,30.9384,wahoo
-108625693943469,2026-06-01,Cycling,32112.2,3506,1.0,9.159,148.0,168.0,219.0,252.0,False,,32.1122,32.9724,wahoo
-62530251464578,2026-05-30,Cycling,112367.08,13152,77.0,8.544,145.0,,193.0,205.0,False,,112.36708,30.7584,wahoo
-149628802701036,2026-05-27,Cycling,37872.97,4202,5.0,9.013,139.0,164.0,208.0,221.0,False,,37.87297,32.4468,wahoo
-67556579441387,2026-05-26,Cycling,67951.93,8000,38.0,8.494,146.0,181.0,192.0,220.0,False,,67.95192999999999,30.5784,wahoo
-130946061752887,2026-05-04,Cycling,34078.98,4089,12.0,8.334,147.0,166.0,,,False,,34.07898,30.0024,wahoo
-456131757019,2026-04-22,Cycling,44770.28,5037,24.0,8.888,143.0,171.0,,,False,,44.77028,31.9968,wahoo
-203348834927645,2026-04-22,Cycling,11973.4,1442,7.0,8.303,133.0,162.0,,,False,,11.9734,29.8908,wahoo
-276944182641317,2026-04-18,Cycling,31930.17,3760,11.0,8.492,140.0,180.0,,,False,,31.93017,30.571200000000005,wahoo
-104490969677780,2026-04-07,Cycling,32265.51,4750,9.0,6.793,124.0,165.0,,,False,,32.26551,24.4548,wahoo
-191690490503687,2026-03-20,Cycling,32513.16,3754,5.0,8.661,129.0,180.0,,,False,,32.51316,31.1796,wahoo
-270773431799373,2026-03-18,Cycling,12445.58,1374,11.0,9.058,139.0,173.0,,,False,,12.44558,32.6088,wahoo
-136304540337744,2026-06-25,Cycling,22241.33,3711,668.0,5.993,143.0,171.0,197.0,239.0,False,,22.24133,21.574800000000003,wahoo
-128265429249768,2026-06-26,Cycling,5142.42,984,78.0,5.226,,,104.0,144.0,False,,5.14242,18.8136,wahoo
-22110044303801,2026-06-27,Cycling,19996.19,2234,182.0,8.951,,,205.0,229.0,False,,19.99619,32.223600000000005,wahoo
