timepoint,altitude,latlng,watts,moving,cadence,velocity_smooth,time,heartrate,grade_smooth,distance
0,-1.2,"[52.137128, 4.393666]",126,False,66,0.0,0,109,6.9,0.0
1,-1.2,"[52.137119, 4.393625]",126,True,64,0.0,1,110,2.9,3.3
2,-0.6,"[52.137064, 4.393602]",125,True,63,0.0,2,112,2.2,8.7
3,-0.8,"[52.137026, 4.393559]",124,True,63,4.633,3,113,0.9,13.9
4,-0.8,"[52.136992, 4.39353]",124,True,65,4.475,4,113,-1.8,17.9
5,-1.0,"[52.136922, 4.393528]",124,True,63,5.1,5,114,-0.8,25.5
6,-1.0,"[52.136878, 4.393481]",106,True,62,5.56,6,114,0.0,31.1
7,-1.0,"[52.136824, 4.393445]",111,True,61,5.82,7,114,0.8,37.8
8,-0.8,"[52.136777, 4.393412]",133,True,61,5.96,8,114,0.9,43.7
9,-0.8,"[52.136732, 4.393373]",106,True,61,6.34,9,113,0.0,49.6
10,-0.8,"[52.13669, 4.39334]",103,True,65,5.78,10,113,-1.7,54.4
11,-1.0,"[52.13664, 4.393299]",130,True,65,5.92,11,113,-2.6,60.7
12,-1.2,"[52.136591, 4.393261]",161,True,63,5.8,12,113,-2.5,66.8
13,-1.4,"[52.136546, 4.393225]",146,True,67,5.72,13,113,-0.9,72.3
14,-1.4,"[52.136501, 4.393186]",141,True,56,5.72,14,113,0.9,78.2
15,-1.2,"[52.136458, 4.393151]",153,True,62,5.74,15,114,2.8,83.1
16,-1.0,"[52.136413, 4.393119]",171,True,57,5.68,16,114,3.7,89.1
17,-0.8,"[52.136369, 4.393087]",172,True,57,5.44,17,114,2.7,94.0
18,-0.6,"[52.136323, 4.393051]",134,True,59,5.5,18,115,0.9,99.8
19,-0.6,"[52.136278, 4.393014]",140,True,61,5.4,19,115,0.0,105.2
20,-0.8,"[52.136233, 4.392976]",143,True,61,5.5,20,115,-0.9,110.6
21,-0.8,"[52.136185, 4.392943]",134,True,62,5.46,21,114,-0.9,116.4
22,-0.8,"[52.136136, 4.392911]",138,True,59,5.68,22,114,0.9,122.4
23,-0.8,"[52.136091, 4.392874]",148,True,63,5.7,23,115,1.7,128.3
24,-0.6,"[52.136049, 4.392835]",172,True,61,5.74,24,115,1.8,133.9
25,-0.4,"[52.136008, 4.392791]",172,True,55,5.78,25,116,1.9,139.5
26,-0.4,"[52.135971, 4.392749]",150,True,55,5.58,26,116,1.9,144.3
27,-0.4,"[52.135931, 4.392702]",131,True,59,5.46,27,115,0.9,149.7
28,-0.2,"[52.135894, 4.392651]",145,True,58,5.36,28,114,0.9,155.1
29,-0.2,"[52.135858, 4.392594]",147,True,58,5.38,29,114,0.0,160.8
30,-0.2,"[52.135822, 4.392537]",149,True,61,5.42,30,113,-0.9,166.6
31,-0.4,"[52.135785, 4.392482]",155,True,61,5.58,31,113,-0.9,172.2
32,-0.4,"[52.135749, 4.39243]",150,True,61,5.54,32,114,-0.9,177.4
33,-0.4,"[52.135713, 4.392377]",132,True,57,5.5,33,116,0.0,182.6
34,-0.4,"[52.135677, 4.392317]",128,True,64,5.5,34,117,0.0,188.3
35,-0.4,"[52.135641, 4.392257]",140,True,63,5.56,35,118,0.0,194.4
36,-0.4,"[52.135604, 4.3922]",132,True,62,5.48,36,118,0.0,199.6
37,-0.4,"[52.135565, 4.392142]",106,True,62,5.64,37,119,0.0,205.6
38,-0.4,"[52.135525, 4.392084]",99,True,64,5.74,38,119,0.0,211.3
39,-0.4,"[52.135483, 4.392025]",90,True,65,5.84,39,120,0.0,217.5
40,-0.4,"[52.135443, 4.391965]",85,True,65,5.88,40,121,-0.8,223.8
41,-0.4,"[52.135404, 4.391903]",87,True,64,6.06,41,121,-0.8,229.9
42,-0.6,"[52.135363, 4.391842]",89,True,65,6.04,42,121,-0.8,235.8
43,-0.6,"[52.135322, 4.391782]",92,True,68,6.16,43,121,-1.7,242.1
44,-0.6,"[52.13528, 4.391724]",93,True,65,6.14,44,122,-1.6,248.2
45,-0.8,"[52.13524, 4.391663]",92,True,72,6.04,45,121,-1.6,254.0
46,-1.0,"[52.135195, 4.391595]",92,True,66,6.26,46,121,-2.4,261.2
47,-1.0,"[52.135154, 4.391535]",96,True,65,6.34,47,122,-2.4,267.5
48,-1.2,"[52.135113, 4.391478]",110,True,68,6.3,48,122,-1.7,273.6
49,-1.4,"[52.135072, 4.39142]",98,True,68,6.26,49,122,-0.8,279.5
50,-1.4,"[52.135032, 4.391361]",82,True,60,6.28,50,122,0.0,285.4
51,-1.2,"[52.134992, 4.391298]",85,True,70,6.1,51,121,1.6,291.7
52,-1.2,"[52.13495, 4.391235]",116,True,66,6.12,52,122,1.6,298.1
53,-1.0,"[52.134908, 4.391173]",99,True,63,6.18,53,121,0.0,304.5
54,-1.0,"[52.134866, 4.39111]",98,True,75,6.22,54,121,0.0,310.6
55,-1.2,"[52.134821, 4.391047]",102,True,63,6.32,55,121,-0.8,317.0
56,-1.2,"[52.134778, 4.390986]",93,True,72,6.36,56,121,-0.8,323.5
57,-1.2,"[52.134738, 4.390921]",91,True,69,6.36,57,121,0.0,329.9
58,-1.2,"[52.134696, 4.390854]",63,True,66,6.4,58,120,0.0,336.5
59,-1.2,"[52.134655, 4.390795]",116,True,67,6.42,59,120,0.0,342.7
60,-1.2,"[52.134612, 4.390732]",96,True,68,6.38,60,120,0.0,348.9
61,-1.2,"[52.134566, 4.390673]",84,True,69,6.38,61,120,-0.8,355.4
62,-1.2,"[52.134522, 4.39061]",81,True,73,6.42,62,120,-1.5,362.0
63,-1.4,"[52.134479, 4.390541]",83,True,72,6.44,63,120,-2.3,368.7
64,-1.6,"[52.134438, 4.390473]",90,True,67,6.48,64,120,-3.0,375.1
65,-1.8,"[52.134391, 4.390405]",69,True,74,6.58,65,119,-3.0,381.8
66,-2.0,"[52.134349, 4.390337]",51,True,0,6.66,66,119,-3.1,388.7
67,-2.2,"[52.134307, 4.390273]",0,True,0,6.6,67,118,-2.3,395.0
68,-2.4,"[52.134264, 4.39021]",0,True,0,6.5,68,118,-2.4,401.2
69,-2.4,"[52.134225, 4.390146]",0,True,0,6.52,69,117,-0.8,407.7
70,-2.6,"[52.134185, 4.390084]",0,True,0,6.44,70,117,0.8,414.0
71,-2.4,"[52.134144, 4.390024]",38,True,67,6.36,71,116,1.6,420.5
72,-2.2,"[52.134101, 4.389959]",115,True,72,6.42,72,116,2.4,427.1
73,-2.0,"[52.134059, 4.389894]",199,True,69,6.46,73,116,1.5,433.5
74,-2.0,"[52.134017, 4.389831]",171,True,71,6.36,74,116,0.8,439.5
75,-2.0,"[52.13397, 4.389762]",126,True,76,6.5,75,117,0.0,446.5
