timepoint,time,moving,watts
0,0,False,126
1,1,True,126
2,2,True,125
3,3,True,124
4,4,True,124
5,5,True,124
6,6,True,106
7,7,True,111
8,8,True,133
9,9,True,106
10,10,True,103
11,11,True,130
12,12,True,161
13,13,True,146
14,14,True,141
15,15,True,153
16,16,True,171
17,17,True,172
18,18,True,134
19,19,True,140
20,20,True,143
21,21,True,134
22,22,True,138
23,23,True,148
24,24,True,172
25,25,True,172
26,26,True,150
27,27,True,131
28,28,True,145
29,29,True,147
30,30,True,149
31,31,True,155
32,32,True,150
33,33,True,132
34,34,True,128
35,35,True,140
36,36,True,132
37,37,True,106
38,38,True,99
39,39,True,90
40,40,True,85
41,41,True,87
42,42,True,89
43,43,True,92
44,44,True,93
45,45,True,92
46,46,True,92
47,47,True,96
48,48,True,110
49,49,True,98
50,50,True,82
51,51,True,85
52,52,True,116
53,53,True,99
54,54,True,98
55,55,True,102
56,56,True,93
57,57,True,91
58,58,True,63
59,59,True,116
60,60,True,96
61,61,True,84
62,62,True,81
63,63,True,83
64,64,True,90
65,65,True,69
66,66,True,51
67,67,True,0
68,68,True,0
69,69,True,0
70,70,True,0
71,71,True,38
72,72,True,115
73,73,True,199
74,74,True,171
75,75,True,126
76,76,True,115
77,77,True,115
78,78,True,12
79,79,True,12
80,80,True,14
81,81,True,115
82,82,True,90
83,83,True,78
84,84,True,83
85,85,True,81
86,86,True,80
87,87,True,101
88,88,True,81
89,89,True,97
90,90,True,122
91,91,True,112
92,92,True,126
93,93,True,145
94,94,True,147
95,95,True,120
96,96,True,115
97,97,True,90
98,98,True,90
99,99,True,32
100,100,True,93
101,101,True,107
102,102,True,105
103,103,True,108
104,104,True,110
105,105,True,123
106,106,True,110
107,107,True,96
108,108,True,101
109,109,True,98
110,110,True,104
111,111,True,117
112,112,True,121
113,113,True,105
114,114,True,84
115,115,True,126
116,116,True,139
117,117,True,131
118,118,True,104
119,119,True,90
120,120,True,109
121,121,True,135
122,122,True,111
123,123,True,99
124,124,True,117
125,125,True,129
126,126,True,124
127,127,True,140
128,128,True,139
129,129,True,115
130,130,True,113
131,131,True,119
132,132,True,127
133,133,True,120
134,134,True,129
135,135,True,132
136,136,True,114
137,137,True,57
138,138,True,0
139,139,True,0
140,140,True,0
141,141,True,0
142,142,True,0
143,143,True,0
144,144,True,0
145,145,True,0
146,146,True,0
147,147,True,0
148,148,True,93
149,149,True,140
150,150,True,231
151,151,True,233
152,152,True,233
153,153,True,232
154,154,True,233
155,155,True,265
156,156,True,259
157,157,True,274
158,158,True,302
159,159,True,315
160,160,True,229
161,161,True,159
162,162,True,139
163,163,True,139
164,164,True,0
165,165,True,0
166,166,True,0
167,167,True,0
168,168,True,0
169,169,True,75
170,170,True,150
171,171,True,146
172,172,True,124
173,173,True,104
174,174,True,81
175,175,True,85
176,176,True,113
177,177,True,110
178,178,True,94
179,179,True,80
180,180,True,77
181,181,True,93
182,182,True,92
183,183,True,95
184,184,True,113
185,185,True,109
186,186,True,99
187,187,True,118
188,188,True,126
189,189,True,130
190,190,True,134
191,191,True,134
192,192,True,144
193,193,True,156
194,194,True,135
195,195,True,120
196,196,True,107
197,197,True,120
198,198,True,127
199,199,True,131
200,200,True,0
201,201,True,0
202,202,True,0
203,203,True,0
204,204,True,0
205,205,True,0
206,206,True,0
207,207,True,0
208,208,True,61
209,209,True,245
210,210,True,245
211,211,True,162
212,212,True,162
213,213,True,204
214,214,True,212
215,215,True,192
216,216,True,172
217,217,True,159
218,218,True,121
219,219,True,98
220,220,True,156
221,221,True,151
222,222,True,151
223,223,True,201
224,224,True,403
225,225,True,324
226,226,True,23
227,227,True,39
228,228,True,121
229,229,True,194
230,230,True,92
231,231,True,101
232,232,True,121
233,233,True,126
234,234,True,158
235,235,True,151
236,236,True,141
237,237,True,151
238,238,True,174
239,239,True,168
240,240,True,188
241,241,True,193
242,242,True,193
243,243,True,190
244,244,True,188
245,245,True,176
246,246,True,178
247,247,True,187
248,248,True,215
249,249,True,217
250,250,True,174
251,251,True,147
252,252,True,173
253,253,True,183
254,254,True,147
255,255,True,112
256,256,True,126
257,257,True,63
258,258,True,0
259,259,True,0
260,260,True,0
261,261,True,0
262,262,True,326
263,263,True,293
264,264,True,240
265,265,True,141
266,266,True,103
267,267,True,110
268,268,True,110
269,269,True,125
270,270,True,140
271,271,True,124
272,272,True,137
273,273,True,138
274,274,True,136
275,275,True,147
276,276,True,163
277,277,True,163
278,278,True,157
279,279,True,145
280,280,True,125
281,281,True,129
282,282,True,135
283,283,True,133
284,284,True,140
285,285,True,151
286,286,True,145
287,287,True,125
288,288,True,120
289,289,True,124
290,290,True,118
291,291,True,109
292,292,True,98
293,293,True,98
294,294,True,32
295,295,True,0
296,296,True,0
297,297,True,0
298,298,True,0
299,299,True,0
300,300,True,0
301,301,True,0
302,302,True,0
303,303,True,0
304,304,True,0
305,305,True,261
306,306,True,261
307,307,True,248
308,308,True,244
309,309,True,232
310,310,True,143
311,311,True,112
312,312,True,105
313,313,True,105
314,314,True,116
315,315,True,124
316,316,True,131
317,317,True,153
318,318,True,157
319,319,True,162
320,320,True,149
321,321,True,146
322,322,True,151
323,323,True,153
324,324,True,144
325,325,True,133
326,326,True,127
327,327,True,124
328,328,True,107
329,329,True,100
330,330,True,101
331,331,True,99
332,332,True,119
333,333,True,123
334,334,True,127
335,335,True,124
336,336,True,124
337,337,True,127
338,338,True,138
339,339,True,111
340,340,True,105
341,341,True,118
342,342,True,129
343,343,True,132
344,344,True,131
345,345,True,124
346,346,True,116
347,347,True,116
348,348,True,113
349,349,True,97
350,350,True,87
351,351,True,87
352,352,True,103
353,353,True,107
354,354,True,114
355,355,True,107
356,356,True,103
357,357,True,0
358,358,True,0
359,359,True,0
360,360,True,0
361,361,True,0
362,362,True,61
363,363,True,247
364,364,True,226
365,365,True,153
366,366,True,139
367,367,True,163
368,368,True,181
369,369,True,164
370,370,True,153
371,371,True,143
372,372,True,153
373,373,True,143
374,374,True,143
375,375,True,128
376,376,True,69
377,377,True,122
378,378,True,131
379,379,True,145
380,380,True,155
381,381,True,130
382,382,True,134
383,383,True,146
384,384,True,146
385,385,True,135
386,386,True,112
387,387,True,128
388,388,True,116
389,389,True,127
390,390,True,151
391,391,True,142
392,392,True,123
393,393,True,113
394,394,True,112
395,395,True,109
396,396,True,111
397,397,True,121
398,398,True,127
399,399,True,117
400,400,True,118
401,401,True,137
